Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Confirmed,Death,,Continent,Population,,Contry,Populatio,Continen
Latvia,3,Both,22,All Ages,294,All causes,1,Number,2019,27426.72978,31883.46583,24040.65038,27427,31884,,Europe,1886202,,Kosovo,1932774,Europe
Lebanon,3,Both,22,All Ages,294,All causes,1,Number,2019,33858.05461,37112.1619,30707.51428,33859,37113,,Asia,6825442,,Kuwait,4270563,Asia
Lesotho,3,Both,22,All Ages,294,All causes,1,Number,2019,32513.76223,38419.76715,27274.66671,32514,38420,,Africa,2142252,,Kyrgyzstan,6524191,Asia
Liberia,3,Both,22,All Ages,294,All causes,1,Number,2019,29749.79749,35158.40322,25437.14923,29750,35159,,Africa,5057677,,Laos,7275556,Asia
Libya,3,Both,22,All Ages,294,All causes,1,Number,2019,31659.72802,38255.23586,26454.48459,31660,38256,,Africa,6871287,,Latvia,1886202,Europe
Lithuania,3,Both,22,All Ages,294,All causes,1,Number,2019,38501.43285,44831.62515,32822.94688,38502,44832,,Europe,2722291,,Lebanon,6825442,Asia
Luxembourg,3,Both,22,All Ages,294,All causes,1,Number,2019,4147.237839,4580.69348,3785.22552,4148,4581,,Europe,625976,,Lesotho,2142252,Africa
Madagascar,3,Both,22,All Ages,294,All causes,1,Number,2019,164160.8851,196919.0821,135284.2343,164161,196920,,Africa,27691019,,Liberia,5057677,Africa
Malawi,3,Both,22,All Ages,294,All causes,1,Number,2019,116671.3767,135062.6873,101169.3466,116672,135063,,Africa,19129955,,Libya,6871287,Africa
Malaysia,3,Both,22,All Ages,294,All causes,1,Number,2019,175875.784,212675.0656,144971.944,175876,212676,,Asia,32365998,,Liechtenstein,38137,Europe
Maldives,3,Both,22,All Ages,294,All causes,1,Number,2019,1501.804558,1714.098261,1311.021015,1502,1715,,Asia,540542,,Lithuania,2722291,Europe
Mali,3,Both,22,All Ages,294,All causes,1,Number,2019,201432.9274,248581.0042,165253.7815,201433,248582,,Africa,20250834,,Luxembourg,625976,Europe
Malta,3,Both,22,All Ages,294,All causes,1,Number,2019,3780.267654,4103.015509,3479.987261,3781,4104,,Europe,441539,,Madagascar,27691019,Africa
Mauritania,3,Both,22,All Ages,294,All causes,1,Number,2019,20981.1216,25795.25619,17621.09485,20982,25796,,Africa,4649660,,Malawi,19129955,Africa
Mauritius,3,Both,22,All Ages,294,All causes,1,Number,2019,10713.36159,12806.76418,8943.077949,10714,12807,,Africa,1271767,,Malaysia,32365998,Asia
Mexico,3,Both,22,All Ages,294,All causes,1,Number,2019,738424.8313,827652.5288,654731.3369,738425,827653,,North America,128932753,,Maldives,540542,Asia
Monaco,3,Both,22,All Ages,294,All causes,1,Number,2019,523.7874,581.6168323,445.6724276,524,582,,Europe,39244,,Mali,20250834,Africa
Mongolia,3,Both,22,All Ages,294,All causes,1,Number,2019,24859.01468,31148.56042,19992.86705,24860,31149,,Asia,3278292,,Malta,441539,Europe
Montenegro,3,Both,22,All Ages,294,All causes,1,Number,2019,6793.67982,7767.442284,5949.634025,6794,7768,,Europe,628062,,Mauritania,4649660,Africa
Morocco,3,Both,22,All Ages,294,All causes,1,Number,2019,228124.4127,261259.5419,187836.9201,228125,261260,,Africa,36910558,,Mauritius,1271767,Africa
Mozambique,3,Both,22,All Ages,294,All causes,1,Number,2019,264784.1922,307634.2569,228277.6245,264785,307635,,Africa,31255435,,Mexico,128932753,North America
Namibia,3,Both,22,All Ages,294,All causes,1,Number,2019,18906.92028,22963.29461,15687.91887,18907,22964,,Africa,2540916,,Moldova,4033963,Europe
Nepal,3,Both,22,All Ages,294,All causes,1,Number,2019,193331.0073,216187.0437,165401.6773,193332,216188,,Asia,29136808,,Monaco,39244,Europe
Netherlands,3,Both,22,All Ages,294,All causes,1,Number,2019,157008.2279,160662.4461,153604.1275,157009,160663,,Europe,17134873,,Mongolia,3278292,Asia
New Zealand,3,Both,22,All Ages,294,All causes,1,Number,2019,34498.11993,35031.32935,33971.01762,34499,35032,,Oceania,4822233,,Montenegro,628062,Europe
Nicaragua,3,Both,22,All Ages,294,All causes,1,Number,2019,29196.31998,33583.89064,24886.37451,29197,33584,,North America,6624554,,Morocco,36910558,Africa
Niger,3,Both,22,All Ages,294,All causes,1,Number,2019,202621.335,249352.9617,166137.4395,202622,249353,,Africa,24206636,,Mozambique,31255435,Africa
Nigeria,3,Both,22,All Ages,294,All causes,1,Number,2019,1593180.027,1830817.906,1391406.547,1593181,1830818,,Africa,206139587,,Namibia,2540916,Africa
North Macedonia,3,Both,22,All Ages,294,All causes,1,Number,2019,24046.57661,28965.9395,19862.05326,24047,28966,,Europe,2083380,,Nepal,29136808,Asia
Norway,3,Both,22,All Ages,294,All causes,1,Number,2019,41385.87946,42049.05028,40749.02106,41386,42050,,Europe,5421242,,Netherlands,17134873,Europe
Oman,3,Both,22,All Ages,294,All causes,1,Number,2019,12374.19784,13394.67141,11419.54619,12375,13395,,Asia,5106622,,New Zealand,4822233,Oceania
Pakistan,3,Both,22,All Ages,294,All causes,1,Number,2019,1499877.557,1695230.641,1328662.244,1499878,1695231,,Asia,220892331,,Nicaragua,6624554,North America
Panama,3,Both,22,All Ages,294,All causes,1,Number,2019,19797.60345,24564.61858,15887.15496,19798,24565,,North America,4314768,,Niger,24206636,Africa
Papua New Guinea,3,Both,22,All Ages,294,All causes,1,Number,2019,69785.02679,87298.091,55802.31279,69786,87299,,Oceania,8947027,,Nigeria,206139587,Africa
Paraguay,3,Both,22,All Ages,294,All causes,1,Number,2019,34171.07015,42717.82611,27128.91054,34172,42718,,South America,7132530,,North Macedonia,2083380,Europe
Peru,3,Both,22,All Ages,294,All causes,1,Number,2019,152432.5415,194458.1936,118651.6413,152433,194459,,South America,32971846,,Norway,5421242,Europe
Philippines,3,Both,22,All Ages,294,All causes,1,Number,2019,638800.8068,736289.3513,548356.7245,638801,736290,,Asia,109581085,,Oman,5106622,Asia
Poland,3,Both,22,All Ages,294,All causes,1,Number,2019,406276.653,465432.6583,350624.2606,406277,465433,,Europe,37846605,,Pakistan,220892331,Asia
Portugal,3,Both,22,All Ages,294,All causes,1,Number,2019,116386.9363,118936.3058,113998.7763,116387,118937,,Europe,10196707,,Panama,4314768,North America
Qatar,3,Both,22,All Ages,294,All causes,1,Number,2019,4421.480306,5533.994128,3508.373862,4422,5534,,Asia,2881060,,Papua New Guinea,8947027,Oceania
"Korea, South",3,Both,22,All Ages,294,All causes,1,Number,2019,318630.5514,330081.1383,307760.7706,318631,330082,,Asia,51640000,,Paraguay,7132530,South America
Moldova,3,Both,22,All Ages,294,All causes,1,Number,2019,40997.9031,45399.67633,36976.45409,40998,45400,,Europe,4033963,,Peru,32971846,South America
Romania,3,Both,22,All Ages,294,All causes,1,Number,2019,262810.9105,305143.5235,224680.556,262811,305144,,Europe,19237682,,Philippines,109581085,Asia
Rwanda,3,Both,22,All Ages,294,All causes,1,Number,2019,68571.25922,79509.76271,59732.18352,68572,79510,,Africa,12952209,,Poland,37846605,Europe
Saint Kitts and Nevis,3,Both,22,All Ages,294,All causes,1,Number,2019,499.7349426,567.1591547,454.0357067,500,568,,North America,53192,,Portugal,10196707,Europe
Saint Lucia,3,Both,22,All Ages,294,All causes,1,Number,2019,1406.088754,1612.709391,1225.461041,1407,1613,,North America,183629,,Qatar,2881060,Asia
