Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Continent,Confirmed,Death
Nepal,3,Both,22,All Ages,294,All causes,1,Number,2019,193331.0073,216187.0437,165401.6773,Asia,193332,216188
Netherlands,3,Both,22,All Ages,294,All causes,1,Number,2019,157008.2279,160662.4461,153604.1275,Asia,157009,160663
New Zealand,3,Both,22,All Ages,294,All causes,1,Number,2019,34498.11993,35031.32935,33971.01762,North America,34499,35032
Nicaragua,3,Both,22,All Ages,294,All causes,1,Number,2019,29196.31998,33583.89064,24886.37451,Oceania,29197,33584
Niger,3,Both,22,All Ages,294,All causes,1,Number,2019,202621.335,249352.9617,166137.4395,South America,202622,249353
Nigeria,3,Both,22,All Ages,294,All causes,1,Number,2019,1593180.027,1830817.906,1391406.547,South America,1593181,1830818
Niue,3,Both,22,All Ages,294,All causes,1,Number,2019,19.92703036,23.26560125,17.03950448,Asia,20,24
North Macedonia,3,Both,22,All Ages,294,All causes,1,Number,2019,24046.57661,28965.9395,19862.05326,Europe,24047,28966
Northern Mariana Islands,3,Both,22,All Ages,294,All causes,1,Number,2019,350.4698241,398.6432649,302.827647,Europe,351,399
Norway,3,Both,22,All Ages,294,All causes,1,Number,2019,41385.87946,42049.05028,40749.02106,Asia,41386,42050
Oman,3,Both,22,All Ages,294,All causes,1,Number,2019,12374.19784,13394.67141,11419.54619,Europe,12375,13395
Pakistan,3,Both,22,All Ages,294,All causes,1,Number,2019,1499877.557,1695230.641,1328662.244,Europe,1499878,1695231
Palau,3,Both,22,All Ages,294,All causes,1,Number,2019,208.708375,256.8994311,168.4632733,Africa,209,257
Palestine,3,Both,22,All Ages,294,All causes,1,Number,2019,16608.0867,18569.76407,14825.09299,North America,16609,18570
Panama,3,Both,22,All Ages,294,All causes,1,Number,2019,19797.60345,24564.61858,15887.15496,North America,19798,24565
Papua New Guinea,3,Both,22,All Ages,294,All causes,1,Number,2019,69785.02679,87298.091,55802.31279,North America,69786,87299
Paraguay,3,Both,22,All Ages,294,All causes,1,Number,2019,34171.07015,42717.82611,27128.91054,Europe,34172,42718
Peru,3,Both,22,All Ages,294,All causes,1,Number,2019,152432.5415,194458.1936,118651.6413,Africa,152433,194459
Philippines,3,Both,22,All Ages,294,All causes,1,Number,2019,638800.8068,736289.3513,548356.7245,Asia,638801,736290
Poland,3,Both,22,All Ages,294,All causes,1,Number,2019,406276.653,465432.6583,350624.2606,Africa,406277,465433
Portugal,3,Both,22,All Ages,294,All causes,1,Number,2019,116386.9363,118936.3058,113998.7763,Europe,116387,118937
Puerto Rico,3,Both,22,All Ages,294,All causes,1,Number,2019,32905.97957,40259.29678,26794.7681,Africa,32906,40260
Qatar,3,Both,22,All Ages,294,All causes,1,Number,2019,4421.480306,5533.994128,3508.373862,Africa,4422,5534
Republic of Korea,3,Both,22,All Ages,294,All causes,1,Number,2019,318630.5514,330081.1383,307760.7706,Asia,318631,330082
Republic of Moldova,3,Both,22,All Ages,294,All causes,1,Number,2019,40997.9031,45399.67633,36976.45409,Europe,40998,45400
Romania,3,Both,22,All Ages,294,All causes,1,Number,2019,262810.9105,305143.5235,224680.556,Europe,262811,305144
Russian Federation,3,Both,22,All Ages,294,All causes,1,Number,2019,1788286.264,1997949.839,1603214.757,Africa,1788287,1997950
Rwanda,3,Both,22,All Ages,294,All causes,1,Number,2019,68571.25922,79509.76271,59732.18352,Africa,68572,79510
Saint Kitts and Nevis,3,Both,22,All Ages,294,All causes,1,Number,2019,499.7349426,567.1591547,454.0357067,Africa,500,568
Saint Lucia,3,Both,22,All Ages,294,All causes,1,Number,2019,1406.088754,1612.709391,1225.461041,Europe,1407,1613
Saint Vincent and the Grenadines,3,Both,22,All Ages,294,All causes,1,Number,2019,1025.963206,1148.444849,920.5531123,Asia,1026,1149
Samoa,3,Both,22,All Ages,294,All causes,1,Number,2019,1367.159996,1662.645139,1138.411324,Africa,1368,1663
San Marino,3,Both,22,All Ages,294,All causes,1,Number,2019,301.5965509,402.0494364,217.1870161,South America,302,403
Sao Tome and Principe,3,Both,22,All Ages,294,All causes,1,Number,2019,1010.786811,1168.521668,847.8858431,Europe,1011,1169
Saudi Arabia,3,Both,22,All Ages,294,All causes,1,Number,2019,128507.2244,156199.8221,105291.3008,Europe,128508,156200
Senegal,3,Both,22,All Ages,294,All causes,1,Number,2019,89908.59918,104054.8718,78984.12279,Asia,89909,104055
Serbia,3,Both,22,All Ages,294,All causes,1,Number,2019,117629.1417,140571.9579,98106.49906,Asia,117630,140572
Seychelles,3,Both,22,All Ages,294,All causes,1,Number,2019,797.2420076,870.6202974,730.8530691,Asia,798,871
Sierra Leone,3,Both,22,All Ages,294,All causes,1,Number,2019,70113.92623,84585.25379,58190.23402,Africa,70114,84586
Singapore,3,Both,22,All Ages,294,All causes,1,Number,2019,23222.0421,23795.0359,22690.16445,Asia,23223,23796
Slovakia,3,Both,22,All Ages,294,All causes,1,Number,2019,54548.94081,66191.88714,44699.28935,Africa,54549,66192
Slovenia,3,Both,22,All Ages,294,All causes,1,Number,2019,20813.19495,25858.34013,16952.5269,North America,20814,25859
Solomon Islands,3,Both,22,All Ages,294,All causes,1,Number,2019,6220.770391,7376.755489,5231.864662,Africa,6221,7377
Somalia,3,Both,22,All Ages,294,All causes,1,Number,2019,184230.9163,235793.5373,147081.528,Asia,184231,235794
South Africa,3,Both,22,All Ages,294,All causes,1,Number,2019,521802.3514,554966.5344,494683.2843,Africa,521803,554967
South Sudan,3,Both,22,All Ages,294,All causes,1,Number,2019,72739.09707,87477.71411,60980.39624,Europe,72740,87478
Spain,3,Both,22,All Ages,294,All causes,1,Number,2019,428576.755,435907.7804,421704.5017,Asia,428577,435908
Sri Lanka,3,Both,22,All Ages,294,All causes,1,Number,2019,135633.3429,172648.6693,105316.2027,Europe,135634,172649
Sudan,3,Both,22,All Ages,294,All causes,1,Number,2019,202165.3763,235449.7814,173550.8795,South America,202166,235450
Suriname,3,Both,22,All Ages,294,All causes,1,Number,2019,4370.586316,5091.649029,3751.009658,North America,4371,5092
Sweden,3,Both,22,All Ages,294,All causes,1,Number,2019,93801.16794,94968.13232,92740.0252,Asia,93802,94969
Switzerland,3,Both,22,All Ages,294,All causes,1,Number,2019,69816.83592,71375.68943,68366.52638,South America,69817,71376
Syrian Arab Republic,3,Both,22,All Ages,294,All causes,1,Number,2019,84424.99545,106240.4965,67798.22867,Asia,84425,106241
Taiwan (Province of China),3,Both,22,All Ages,294,All causes,1,Number,2019,185365.1553,231575.8725,150584.1226,Asia,185366,231576
Tajikistan,3,Both,22,All Ages,294,All causes,1,Number,2019,48702.90568,57905.6493,41258.72633,Africa,48703,57906
Thailand,3,Both,22,All Ages,294,All causes,1,Number,2019,497502.3509,628041.934,389256.782,Asia,497503,628042
Timor-Leste,3,Both,22,All Ages,294,All causes,1,Number,2019,7756.200715,8617.942925,6665.430363,Africa,7757,8618
Togo,3,Both,22,All Ages,294,All causes,1,Number,2019,53555.20618,62972.89933,45632.60981,Africa,53556,62973
Tokelau,3,Both,22,All Ages,294,All causes,1,Number,2019,11.10778454,13.6357997,9.189807282,Africa,12,14
Tonga,3,Both,22,All Ages,294,All causes,1,Number,2019,657.9680324,785.3267819,550.5385026,Africa,658,786
Trinidad and Tobago,3,Both,22,All Ages,294,All causes,1,Number,2019,11765.05463,14952.24759,9167.266599,Africa,11766,14953
Tunisia,3,Both,22,All Ages,294,All causes,1,Number,2019,67618.31432,85426.14378,53063.07914,Africa,67619,85427
Turkey,3,Both,22,All Ages,294,All causes,1,Number,2019,454742.0549,536629.834,382103.6069,Africa,454743,536630
Turkmenistan,3,Both,22,All Ages,294,All causes,1,Number,2019,33620.29445,40880.40581,27893.22441,Africa,33621,40881
Tuvalu,3,Both,22,All Ages,294,All causes,1,Number,2019,107.3350487,136.1978496,86.07136563,Africa,108,137
Uganda,3,Both,22,All Ages,294,All causes,1,Number,2019,242798.4984,279716.5018,212558.3178,Africa,242799,279717
Ukraine,3,Both,22,All Ages,294,All causes,1,Number,2019,698662.8325,796913.2302,615471.9017,Africa,698663,796914
United Arab Emirates,3,Both,22,All Ages,294,All causes,1,Number,2019,29113.02119,37347.46736,22477.79224,Africa,29114,37348
United Kingdom,3,Both,22,All Ages,294,All causes,1,Number,2019,621814.6442,627195.8602,616814.8543,Africa,621815,627196
United Republic of Tanzania,3,Both,22,All Ages,294,All causes,1,Number,2019,354350.9842,408305.3401,312213.793,Africa,354351,408306
United States of America,3,Both,22,All Ages,294,All causes,1,Number,2019,2946455.755,2968832.318,2924325.158,Africa,2946456,2968833
United States Virgin Islands,3,Both,22,All Ages,294,All causes,1,Number,2019,1279.016616,1400.856563,1136.982022,Africa,1280,1401
Uruguay,3,Both,22,All Ages,294,All causes,1,Number,2019,33847.27926,34774.81258,33004.02177,Africa,33848,34775
Uzbekistan,3,Both,22,All Ages,294,All causes,1,Number,2019,203598.8563,235384.0706,175690.9431,Africa,203599,235385
Vanuatu,3,Both,22,All Ages,294,All causes,1,Number,2019,2236.499869,2801.363959,1831.439134,Africa,2237,2802
Venezuela (Bolivarian Republic of),3,Both,22,All Ages,294,All causes,1,Number,2019,186929.2755,236980.8142,146795.7566,Africa,186930,236981
Viet Nam,3,Both,22,All Ages,294,All causes,1,Number,2019,631817.5709,714078.8817,538099.658,Africa,631818,714079
Yemen,3,Both,22,All Ages,294,All causes,1,Number,2019,174541.93,209931.8634,147973.8118,Africa,174542,209932
Zambia,3,Both,22,All Ages,294,All causes,1,Number,2019,123354.9747,144275.8416,106828.4872,Africa,123355,144276
Zimbabwe,3,Both,22,All Ages,294,All causes,1,Number,2019,126522.6637,147086.7877,109715.3775,Africa,126523,147087
